2022-08-20 08:09:00.049  INFO [authorizationService,6b31014ed33ddec2,2852f1fe39320bdb] 8812 --- [http-nio-9090-exec-3] c.c.controller.AuthorizationController   : STARTED - authorization
2022-08-20 08:09:00.052  INFO [authorizationService,6b31014ed33ddec2,2852f1fe39320bdb] 8812 --- [http-nio-9090-exec-3] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-08-20 08:09:00.058  INFO [authorizationService,6b31014ed33ddec2,2852f1fe39320bdb] 8812 --- [http-nio-9090-exec-3] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-08-20 08:09:00.063  INFO [authorizationService,6b31014ed33ddec2,2852f1fe39320bdb] 8812 --- [http-nio-9090-exec-3] c.c.controller.AuthorizationController   : END - authorization
2022-08-20 08:30:09.312  INFO [authorizationService,d2bd9bb18c5762e6,cfca37a6d8dd5b7c] 8812 --- [http-nio-9090-exec-7] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-08-20 08:30:09.317  INFO [authorizationService,d2bd9bb18c5762e6,cfca37a6d8dd5b7c] 8812 --- [http-nio-9090-exec-7] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-08-20 08:30:09.325  INFO [authorizationService,d2bd9bb18c5762e6,cfca37a6d8dd5b7c] 8812 --- [http-nio-9090-exec-7] c.c.controller.AuthorizationController   : STARTED - authorization
2022-08-20 08:30:09.327  INFO [authorizationService,d2bd9bb18c5762e6,cfca37a6d8dd5b7c] 8812 --- [http-nio-9090-exec-7] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-08-20 08:30:09.329  INFO [authorizationService,d2bd9bb18c5762e6,cfca37a6d8dd5b7c] 8812 --- [http-nio-9090-exec-7] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-08-20 08:30:09.331  INFO [authorizationService,d2bd9bb18c5762e6,cfca37a6d8dd5b7c] 8812 --- [http-nio-9090-exec-7] c.c.controller.AuthorizationController   : END - authorization
2022-08-20 08:30:09.500  INFO [authorizationService,ae5d0d3223e6dc52,b8b3c91c12ab0d9a] 8812 --- [http-nio-9090-exec-8] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-08-20 08:30:09.504  INFO [authorizationService,ae5d0d3223e6dc52,b8b3c91c12ab0d9a] 8812 --- [http-nio-9090-exec-8] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-08-20 08:30:09.509  INFO [authorizationService,ae5d0d3223e6dc52,b8b3c91c12ab0d9a] 8812 --- [http-nio-9090-exec-8] c.c.controller.AuthorizationController   : STARTED - authorization
2022-08-20 08:30:09.511  INFO [authorizationService,ae5d0d3223e6dc52,b8b3c91c12ab0d9a] 8812 --- [http-nio-9090-exec-8] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-08-20 08:30:09.512  INFO [authorizationService,ae5d0d3223e6dc52,b8b3c91c12ab0d9a] 8812 --- [http-nio-9090-exec-8] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-08-20 08:30:09.515  INFO [authorizationService,ae5d0d3223e6dc52,b8b3c91c12ab0d9a] 8812 --- [http-nio-9090-exec-8] c.c.controller.AuthorizationController   : END - authorization
2022-08-20 10:46:15.893  INFO [authorizationService,2d57489f52b0bcfa,450d3ca1c43c268e] 8812 --- [http-nio-9090-exec-2] c.c.controller.AuthorizationController   : STARTED - User authentication
2022-08-20 10:46:15.896  INFO [authorizationService,2d57489f52b0bcfa,450d3ca1c43c268e] 8812 --- [http-nio-9090-exec-2] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-08-20 10:46:15.905  INFO [authorizationService,2d57489f52b0bcfa,450d3ca1c43c268e] 8812 --- [http-nio-9090-exec-2] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-08-20 10:46:15.905  INFO [authorizationService,2d57489f52b0bcfa,450d3ca1c43c268e] 8812 --- [http-nio-9090-exec-2] c.c.controller.AuthorizationController   : END - generateToken
2022-08-20 10:46:16.040  INFO [authorizationService,9991ee2584618b38,000ee34c4c411c1e] 8812 --- [http-nio-9090-exec-5] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-08-20 10:46:16.052  INFO [authorizationService,9991ee2584618b38,000ee34c4c411c1e] 8812 --- [http-nio-9090-exec-5] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-08-20 10:46:16.064  INFO [authorizationService,9991ee2584618b38,000ee34c4c411c1e] 8812 --- [http-nio-9090-exec-5] c.c.controller.AuthorizationController   : STARTED - authorization
2022-08-20 10:46:16.068  INFO [authorizationService,9991ee2584618b38,000ee34c4c411c1e] 8812 --- [http-nio-9090-exec-5] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-08-20 10:46:16.073  INFO [authorizationService,9991ee2584618b38,000ee34c4c411c1e] 8812 --- [http-nio-9090-exec-5] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-08-20 10:46:16.080  INFO [authorizationService,9991ee2584618b38,000ee34c4c411c1e] 8812 --- [http-nio-9090-exec-5] c.c.controller.AuthorizationController   : END - authorization
